"","id","mentor","education","gpa","gpa_3"
"1",57103869,0,11,0.77,0
"2",57111071,0,15,3.21,1
"3",57133772,1,14,3.21,1
"4",57136630,1,15,3.44,1
"5",57138056,0,15,0.3,0
"6",57139880,1,17,3.16,1
"7",57145151,0,17,3.98,1
"8",57146734,1,20,3.21,1
"9",57154779,0,11,0,0
"10",57159952,0,22,3.69,1
"11",57165081,1,13,2.38,0
"12",57177419,0,15,2.63,0
"13",57178110,1,15,2.72,0
"14",57178982,0,13,1.45,0
"15",57186582,0,15,3.44,1
"16",57212347,1,11,1.14,0
"17",57213037,0,15,1.77,0
"18",57213527,0,15,2.43,0
"19",57218874,0,17,2.07,0
"20",57220955,1,19,3.95,1
"21",57228523,0,15,1.13,0
"22",57230940,0,17,2.62,0
"23",57231300,1,17,3.07,1
"24",57241075,0,15,1.5,0
"25",57245315,0,15,1.68,0
"26",57275298,1,13,2.3,0
"27",88191364,0,15,2.31,0
"28",90316053,0,14,2.96,0
"29",90316656,1,18,3.59,1
"30",90500459,1,13,1.57,0
"31",90500516,1,13,2.54,0
"32",90503807,1,17,3.62,1
"33",90504603,0,15,1.75,0
"34",90506094,0,13.5,2.2,0
"35",90506236,1,19,3.84,1
"36",90506268,0,15,2.04,0
"37",90506472,1,13.5,1.86,0
"38",90506828,0,14,3.04,1
"39",90506849,1,13,2.44,0
"40",90508165,1,15,2.36,0
"41",90543102,0,14,3.36,1
"42",90543104,1,15,2.54,0
"43",90570184,0,15,2.64,0
"44",90570190,1,15,2.96,0
"45",90570222,1,15,1.8,0
"46",90570280,1,14,2.12,0
"47",90570655,0,15,2.29,0
"48",90570778,0,15,2.22,0
"49",90571217,0,15,2.53,0
"50",90571315,1,17,2.57,0
"51",90571461,1,15,2.29,0
"52",90571805,1,15,2.46,0
"53",90571816,1,19,3.06,1
"54",90571913,0,15,2.82,0
"55",90572049,0,13,2.73,0
"56",90572070,0,13.5,2.55,0
"57",90572172,0,19,2.71,0
"58",90572280,0,11,1.77,0
"59",90572285,0,14,3.16,1
"60",90572303,1,17,3.87,1
"61",90572323,0,15,3.04,1
"62",90572341,0,15,2.77,0
"63",90572393,1,17,3.16,1
"64",90572448,0,11,1.32,0
"65",90572469,1,17,3.69,1
"66",90572900,0,22,3.98,1
"67",90572925,1,11,0.93,0
"68",90572991,0,13,2,0
"69",90573212,1,15,2.25,0
"70",90573491,0,13,1.66,0
"71",90573954,1,17,3.05,1
"72",90573959,1,17,3.4,1
"73",90573992,0,17,3.08,1
