"","id","mentee_age","education","gpa","gpa_3"
"1",57133772,14,14,3.21,1
"2",57136630,15,15,3.44,1
"3",57139880,13,17,3.16,1
"4",57146734,15,20,3.21,1
"5",57165081,17,13,2.38,0
"6",57178110,16,15,2.72,0
"7",57212347,15,11,1.14,0
"8",57220955,16,19,3.95,1
"9",57231300,13,17,3.07,1
"10",57275298,18,13,2.3,0
"11",90316656,14,18,3.59,1
"12",90500459,16,13,1.57,0
"13",90500516,11,13,2.54,0
"14",90503807,14,17,3.62,1
"15",90506236,16,19,3.84,1
"16",90506472,15,13.5,1.86,0
"17",90506849,14,13,2.44,0
"18",90508165,15,15,2.36,0
"19",90543104,16,15,2.54,0
"20",90570190,18,15,2.96,0
"21",90570222,12,15,1.8,0
"22",90570280,16,14,2.12,0
"23",90571315,14,17,2.57,0
"24",90571461,17,15,2.29,0
"25",90571805,17,15,2.46,0
"26",90571816,15,19,3.06,1
"27",90572303,16,17,3.87,1
"28",90572393,17,17,3.16,1
"29",90572469,15,17,3.69,1
"30",90572925,16,11,0.93,0
"31",90573212,16,15,2.25,0
"32",90573954,16,17,3.05,1
"33",90573959,15,17,3.4,1
"34",90574307,13,19,2.91,0
"35",90575378,19,18,3.71,1
"36",90575623,21,15,2.7,0
"37",90575871,18,17,2.87,0
"38",90575919,15,17,2.62,0
"39",90575931,17,18,3.33,1
"40",90575948,12,17,3.42,1
"41",90576057,18,17,3.56,1
"42",90576119,15,15,3.52,1
"43",90576285,16,19,3.47,1
"44",90576481,16,15,1.29,0
"45",90576485,14,15,3.12,1
"46",90576837,17,17,3.69,1
"47",90576928,15,15,2.16,0
"48",90577119,17,13,2.87,0
"49",90577227,12,20,4,1
"50",90577322,20,17,2.62,0
"51",90577782,23,17,2.91,0
"52",90577817,19,22,3.71,1
"53",90578618,14,18,3.17,1
"54",90578813,19,19,4,1
"55",90579270,12,15,2.5,0
"56",90579272,17,15,2.58,0
"57",90579966,15,17,1,0
"58",90579990,16,13,2.62,0
"59",90608976,17,17,2.44,0
"60",90614876,16,18,3.08,1
"61",90619260,15,17,2.98,0
"62",90619464,17,17,2.79,0
"63",90619961,21,13,3.37,1
"64",90676321,16,15,1.4,0
"65",90711360,13,15,1.93,0
"66",90712211,14,18,3.62,1
"67",90713909,10,15,1.65,0
"68",90715294,16,15,2.21,0
"69",90715988,17,15,3.02,1
"70",90716064,15,13.5,1.33,0
"71",90716390,14,11,0.85,0
"72",90716952,14,15,2.29,0
"73",90716969,16,19,3.57,1
"74",90716975,17,17,3.98,1
"75",90718305,18,19,2.69,0
"76",91374970,14,20,3.63,1
"77",91500977,21,19,3.67,1
"78",91504224,19,15,2.31,0
"79",91506304,16,20,3.49,1
"80",91506935,14,13,2.5,0
"81",91507010,20,20,3.85,1
"82",91507851,15,18,4,1
"83",91508381,16,15,1.94,0
"84",91570095,17,15,1.6,0
"85",91570425,17,15,2.44,0
"86",91570497,16,15,2.11,0
"87",91570597,16,17,2.18,0
"88",91570621,18,19,4,1
"89",91570692,15,17,3.35,1
"90",91571560,12,17,2.94,0
"91",91571707,16,15,3.38,1
"92",91571817,16,17,3.88,1
"93",91572346,15,11,2.17,0
"94",91572999,15,17,3.44,1
"95",91573334,23,20,2.02,0
"96",91573708,6,19,3,1
"97",91573956,16,17,2.72,0
"98",91573958,16,17,4,1
"99",91574308,19,20,2.98,0
"100",91574399,21,20,3.63,1
