tchid,treat,coursework,vocabulary
277,1,12,96.88
254,0,13,88.69
288,1,13,88.38
296,0,13,81
264,1,14,102.67
272,0,14,77.82
175,1,14,79.29
158,1,13,72.88
33,0,13,94.57
252,1,12,100.25
305,0,13,82.67
35,1,14,90.29
312,0,11,83.94
229,0,12,85.71
273,0,14,85.31
97,0,9,89.88
67,0,14,92.56
65,1,14,95.8
119,0,11,89.27
280,1,2,81.38
222,1,12,85.69
258,1,14,88.31
285,0,13,64.12
237,0,14,93.17
176,0,14,81.88
267,1,13,90.25
40,0,13,97.67
57,1,11,90.93
294,0,13,97.88
48,0,13,94.27
298,0,12,99.8
313,1,13,85.55
209,1,13,111.44
263,1,13,100.5
245,0,12,96.44
109,0,11,80.88
125,1,12,74.13
111,1,14,75.12
243,1,12,83.12
216,1,11,87.1
231,1,6,80.25
199,0,14,74.5
106,1,13,97.56
232,0,11,90.38
89,1,10,86.86
32,1,14,89.25
95,1,13,91.6
262,1,13,81.38
66,0,13,92.15
69,1,13,80.21
228,1,5,92
239,1,12,85.58
292,1,13,58.5
248,1,0,84.38
295,0,10,85.62
297,0,13,86.44
86,0,0,86.73
250,0,0,93.58
160,1,13,81.38
72,1,10,85.21
68,1,14,90.71
75,0,14,83.58
92,1,3,84.25
59,1,12,86.88
44,0,11,96.5
41,0,14,109.38
62,1,13,89.27
166,0,14,70.33
128,0,11,85.15
27,1,14,88.14
113,0,12,89
1812,1,12,85.62
707,0,13,78.65
966,1,0,76.38
1244,0,11,93.94
965,0,12,72.69
1825,0,14,77.31
1819,1,14,78.23
1260,1,14,89.5
1827,1,11,88.07
967,0,12,93.62
968,1,14,74.56
1266,1,14,100.25
716,1,13,86.25
1087,0,14,98
1243,0,12,97.69
1803,0,11,89.27
1818,0,12,70.25
1824,0,14,92.8
1811,0,11,74.15
1832,1,0,74.29
1250,0,0,76.06
715,1,14,82.69
1095,1,13,105.38
1286,0,13,93.5
2336,1,8,92.88
1096,0,14,99.81
1246,1,14,97.75
2056,1,13,106
1238,0,14,92.88
1132,1,11,103.94
1257,0,14,96.56
712,0,13,79.69
2059,0,14,98.64
709,1,14,71
2335,1,11,103.06
718,1,14,75.12
721,1,13,85.82
722,1,12,72.69
703,0,13,98
702,1,13,86
1247,1,10,85.08
1814,1,0,81.08
1138,0,12,95.75
1224,0,13,95.5
1222,0,14,100.75
1220,0,13,82.56
1128,1,12,106.12
1237,1,13,89.5
1262,0,14,102
1217,0,14,88.38
1259,0,13,94.8
2092,1,12,86.92
2082,1,14,102
2380,0,9,79.09
1264,1,12,90.44
