id,deathpen,rdefend,rvictim
1,0,2,2
2,0,2,1
3,1,2,2
4,0,2,2
5,0,1,1
6,0,2,1
7,0,1,1
8,0,2,2
9,0,2,2
10,0,2,1
11,0,1,1
12,0,1,1
13,0,2,2
14,0,1,1
15,0,2,2
16,0,2,2
17,0,1,1
18,0,1,2
19,0,1,1
20,0,2,2
21,0,1,1
22,1,2,1
23,0,2,2
24,1,1,2
25,0,1,1
26,0,2,2
27,0,1,1
28,0,2,2
29,0,2,2
30,0,1,1
31,0,1,1
32,0,1,2
33,1,2,1
34,1,1,1
35,0,1,1
36,0,1,1
37,0,1,1
38,0,2,2
39,0,1,1
40,0,2,2
41,0,1,1
42,0,2,2
43,0,2,2
44,0,2,2
45,0,2,2
46,0,1,1
47,0,1,1
48,0,1,1
49,0,2,2
50,0,2,2
51,0,2,2
52,0,1,1
53,0,2,2
54,0,1,1
55,0,1,2
56,0,1,1
57,0,2,2
58,0,1,1
59,0,1,1
60,0,2,2
61,0,1,1
62,1,1,2
63,0,2,2
64,0,1,1
65,0,1,1
66,0,2,2
67,0,2,2
68,0,1,1
69,0,1,1
70,0,1,1
71,0,2,2
72,0,1,1
73,0,1,1
74,0,2,1
75,0,1,1
76,0,1,1
77,0,1,1
78,0,1,1
79,1,2,1
80,0,1,1
81,0,1,1
82,0,2,2
83,0,2,1
84,0,1,1
85,0,1,1
86,0,1,1
87,0,1,1
88,0,1,1
89,0,2,2
90,0,1,1
91,0,1,1
92,0,1,1
93,0,1,1
94,0,2,2
95,0,1,1
96,0,1,1
97,1,2,2
98,0,1,1
99,0,1,1
100,0,1,1
101,1,1,1
102,0,1,1
103,0,2,2
104,0,1,2
105,0,2,2
106,0,1,1
107,0,2,1
108,0,2,2
109,0,1,1
110,0,2,2
111,0,1,1
112,0,1,1
113,0,2,2
114,0,1,1
115,0,1,1
116,0,1,1
117,0,2,2
118,0,2,2
119,0,1,1
120,0,1,1
121,0,2,1
122,0,2,2
123,0,2,2
124,0,2,1
125,0,1,1
126,0,1,2
127,0,1,1
128,0,1,1
129,0,2,2
130,0,1,1
131,0,2,2
132,0,1,1
133,0,2,2
134,0,1,1
135,1,1,2
136,0,2,2
137,1,1,2
138,0,2,2
139,0,1,1
140,0,2,2
141,0,1,1
142,0,2,2
143,0,2,2
144,0,2,1
145,0,1,1
146,0,2,2
147,0,1,1
148,0,2,2
149,0,2,2
150,0,1,1
151,0,1,1
152,0,1,1
153,0,2,2
154,0,2,2
155,0,1,1
156,0,2,1
157,0,2,2
158,0,1,1
159,0,1,1
160,0,2,1
161,0,2,2
162,0,2,2
163,0,1,1
164,0,1,1
165,0,1,1
166,0,1,1
167,0,1,1
168,0,2,2
169,0,2,2
170,0,1,1
171,0,1,1
172,0,2,2
173,0,1,2
174,0,1,1
175,0,1,1
176,0,1,1
177,0,2,2
178,0,2,2
179,0,2,2
180,0,2,1
181,0,1,1
182,0,2,2
183,0,1,2
184,0,1,1
185,0,1,1
186,1,2,2
187,0,2,2
188,0,1,1
189,0,1,1
190,0,1,1
191,0,1,1
192,0,2,2
193,0,1,1
194,1,2,2
195,0,2,2
196,0,1,1
197,0,2,2
198,1,2,2
199,0,1,1
200,0,2,2
201,0,2,2
